2026-09-06 | scaffold | 0 done, 32 remaining
2026-09-06 | scaffold | 0 done, 32 remaining
2026-09-07 | 10-tacotron2 | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 11-attention-failures | Attention Failure Modes in TTS | OK
2026-09-07 | 11-attention-failures | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 12-fastspeech2 | FastSpeech 2 | OK
2026-09-07 | 12-fastspeech2 | FastSpeech 2 | OK (attempt 2 — variance-adaptor ORDER corrected: the pitch and energy predictors sit AFTER the length regulator and read the expanded T-frame sequence, so their 256-bin embeddings are added frame by frame (one control vector per mel frame), which is consistent with the CWT/iCWT F0 decomposition; phoneme-level pitch added before expansion is FastPitch's mechanism and is now named as the contrast. Fixed in theory, the <pre> block (reordered so repeat_interleave precedes the predictors), the interview line and takeaway 2; theory trimmed 749 -> 743 words to hold the 750-word core ceiling at 30587 bytes)
2026-09-07 | 12-fastspeech2 | FastSpeech 2 | OK (attempt 3 — detail-panel branch was reachable with α != 1: `else if(edits||sigma()>0)` fell through to "At α = 1 and σ = 0 the model reproduces the aligner exactly" whenever there were no edits and σ = 0, so at α = 0.4 the page asserted exact reproduction while its own tile showed 4.13 frames / 48 ms MAE. Branch now keys off the computed `mae` itself (`else if(mae>0)`), so the prose cannot disagree with the MAE tile for any α/σ/edit combination, and the zero-MAE message states the live α and σ instead of asserting them.)
2026-09-07 | 12-fastspeech2 | gate | validate=PASS factcheck=PASS attempts=3
2026-09-07 | 13-ar-vs-nar | Autoregressive vs Non-Autoregressive TTS | OK
2026-09-07 | 14-vits | VITS and End-to-End TTS | OK
2026-09-07 | 14-vits | VITS and End-to-End TTS | OK (attempt 2 — adversarial loss corrected: VITS/HiFi-GAN use least-squares (LSGAN), D minimising E[(D(y)-1)^2]+E[D(G(z))^2] and G minimising E[(D(G(z))-1)^2], not a hinge loss; `mpd_hinge(...)` in the training <pre> replaced with the LSGAN generator term and the D step spelled out in its comment, and the theory paragraph now names the objective explicitly. Theory trimmed 986 -> 976 words to absorb the addition and hold the 35 KB advanced ceiling at 35837 bytes)
2026-09-07 | 14-vits | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 15-wavenet | WaveNet and Autoregressive Audio | OK
2026-09-07 | 15-wavenet | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 16-griffin-lim | Griffin-Lim and Phase Reconstruction | OK
2026-09-07 | 16-griffin-lim | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 17-hifigan | HiFi-GAN | OK
2026-09-07 | 17-hifigan | HiFi-GAN | OK (attempt 2 — two fact fixes: (a) 22.05 kHz -> 16 kHz is 0.73x, i.e. ~27% fewer samples per second, not "roughly halves"; the telephony paragraph now states 27% and adds the real consequence, Nyquist at 8 kHz not 11.025 kHz. (b) An L1 objective is minimised by the conditional MEDIAN, not the mean — it is L2 that gives the mean; corrected in all three places (theory loss paragraph, takeaway 3, and the JS 'smooth' detail string), with the over-smoothing consequence kept and reattributed to any pointwise loss collapsing the phase realisations. Theory trimmed 748 -> 745 words and 30692 -> 30718 bytes to absorb the additions under the 750-word / 30 KB core ceilings.)
2026-09-07 | 17-hifigan | HiFi-GAN | OK (attempt 3 — the viz metric was measuring nothing at the frequency the page was arguing about: spec() probed only 48 band CENTRES at (b+.5)*.5/48, and f_s/4 falls exactly between centres 0.2448 and 0.2552, so a full-scale 5512 Hz tone read as invisible on every branch — MSD ×1, which applies no reduction at all, scored 0.13. Replaced with a full 128-point Hann power spectrum, bins k = 0..64, where k IS the frequency k/128, so DC, f_s/4 (k=32) and the decimated Nyquist (k=64) are all real analysis bins. Buzz now scores MSD ×1 40.0 (reference), MSD ×2/×4 exactly 0.00 (the 4-tap boxcar null is exact, so they receive a bit-identical signal), MPD 0.37–0.85× — so "every MPD branch still sees it" is now what the chart shows. MECH.buzz corrected to the real column algebra: odd p fold it to 0.25 of the column rate in every column, p=2 splits it (even-phase column sits on the zero crossings, odd-phase alternates ±1 at the decimated Nyquist). Detail panel now derives its survival ratios from the computed bars, stated as ×-ratios rather than "% visibility" because jitter legitimately exceeds 1× (aliasing concentrates it), and the "blind spot" wording is conditional on the low branch actually being near zero. Clean-side spectra cached by F0; 5 slider redraws in 10 ms.)
2026-09-07 | 17-hifigan | gate | validate=PASS attempts=3
2026-09-07 | 17-hifigan | gate | validate=PASS factcheck=PASS attempts=3
2026-09-07 | 18-neural-codecs | Neural Audio Codecs and RVQ | OK
2026-09-07 | 18-neural-codecs | Neural Audio Codecs and RVQ | OK (attempt 2 — token-rate ratio corrected: Mimi's 12.5 Hz × 8 codebooks = 100 tok/s is a SIXTH of EnCodec's 75 × 8 = 600 tok/s, not "an eighth", which would have required EnCodec to run at 800 tok/s and contradicted both the page's own 600 figure and the JS `tok = P.fps * nq`. The sentence now shows the 12.5 × 8 = 100 arithmetic and names the 600 it is divided into, so the ratio cannot drift from the number it references. Bits-per-stage (1100 bps / 12.5 Hz / 8 = 11) and the Mimi JS preset (24000 / 1920 = 12.5 fps) were already correct and are unchanged. Theory 904 words, 33501 bytes — inside the 700–1000 word / 35 KB advanced ceilings.)
2026-09-07 | 19-streaming-tts | Streaming TTS | OK
2026-09-07 | 19-streaming-tts | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 20-latency-budget | Latency Budget Decomposition | OK
2026-09-07 | 21-barge-in | Barge-In and Interruption Detection | OK
2026-09-07 | 21-barge-in | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 22-turn-taking | Turn-Taking and Endpointing Policy | OK
2026-09-07 | 22-turn-taking | Turn-Taking and Endpointing Policy | OK (attempt 2 — fixed the wait(p) evaluation: t_min 200, t_max 1600, p=.05 gives 200 + 1400x0.95 = 1530 ms, not 1520; the code comment now shows a caller-side partial ("my member ID is") to match. Also removed two number clashes a reader could take as contradictions: the theory's generic "2 s cap" now names the t_max clamp it actually means, and the interview line's "1.5 second cap" is now "about a second and a half" with 270 ms at high p, both derived from the same t_min/t_max the <pre> states. Theory 749 words, 27920 bytes — inside the 500-750 word / 30 KB core ceilings.)
2026-09-07 | 22-turn-taking | Turn-Taking and Endpointing Policy | OK (attempt 3 — the "fixed is faster" detail branch asserted the ASR-partial lag as the cause unconditionally, but semTh = max(lag, t_min + (t_max - t_min)(1 - p)) only makes the lag binding when lag exceeds the completeness term; at the defaults (t_min 200, lag 120, p = .95 -> 270 ms) the floor is inactive and the completeness term is what outranks a short fixed timer. Split semTerm() out of semTh() so the two branches of the max() are separable, and the message now tests `fs.th - term > 0.5` and names whichever term actually won — the floor with its losing completeness value, or the completeness arithmetic with the floor explicitly marked not binding. The floor note below it used `|fs.th - lag| < 1`, which also fires on a coincidental tie where the formula asks for exactly the lag; it now uses the same strict `fs.th - semTerm > 0.5` test and quotes the value the formula asked for instead of saying "less than". 28600 bytes, inside the 30 KB core ceiling.)
2026-09-07 | 22-turn-taking | gate | validate=PASS attempts=3
2026-09-07 | 22-turn-taking | gate | validate=PASS factcheck=PASS attempts=3
2026-09-07 | 23-speech-to-speech | Full-Duplex Speech-to-Speech Models | OK
2026-09-07 | 23-speech-to-speech | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 24-rtf-gpu-sizing | Real-Time Factor and GPU Sizing | OK
2026-09-07 | 24-rtf-gpu-sizing | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 25-speaker-embeddings | Speaker Embeddings | OK
2026-09-07 | 26-voice-cloning | Zero-Shot Voice Cloning | OK
2026-09-07 | 26-voice-cloning | Zero-Shot Voice Cloning | OK (attempt 2 — two fact fixes: (a) phoneme rate — at ~10-15 phonemes/sec a 1 s / 75-frame prompt carries ten or twelve phonemes (two or three words), not "maybe three"; ~3/sec is a words-per-second rate. (b) VALL-E's AR stage conditions on the phonemes plus the prompt's FIRST CODEBOOK only (225 acoustic tokens for a 3 s clip); the full 225 x 8 = 1,800-token grid is what the NAR stage attends to across its 7 passes. The page's own prefill formula already used 225 frames, so the "1,800 tokens read from the KV cache on every AR step" claim contradicted its own arithmetic. Corrected in the theory quantizer-split paragraph, the no-bottleneck paragraph, the <pre> prompt_fr comment, the canvas prompt-grid label, the detail() Prompt string and takeaway 1. Theory prose 974 words, 35795 bytes — inside the 700-1000 word / 35 KB advanced ceilings.)
2026-09-07 | 26-voice-cloning | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 27-style-control | Emotion and Style Control | OK
2026-09-07 | 27-style-control | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 28-watermarking-consent | Watermarking, Consent and Voice Safety | OK
2026-09-07 | 28-watermarking-consent | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 29-mos-subjective | MOS, CMOS and Subjective Evaluation | OK
2026-09-07 | 29-mos-subjective | MOS, CMOS and Subjective Evaluation | OK (attempt 2 — two fact fixes. (a) The "ACR powered for 0.1 MOS" preset was n = 260, which the page's own formulas score at SE 0.0719 / 28.5 % power; 80 % power at sigma 0.9, rho 0.35, m 10 needs n = 1056 (SE 0.0357, power 80.0 %), so the preset is now 1056 and the slider max raised 400 -> 1200 to reach it. (b) `ratings` counted n*m*2 for BOTH ACR designs, but a between-listener panel SPLITS: n listeners each hear one system for m utterances, so it draws n*m ratings total and n*m/2 per system — half what the page claimed on the canvas label, the effective-N tile and the sizing line. `ratings` is now n*m*2 only for within, and a separate `held` carries the per-system (or per-pair, for CMOS) count the sizing line compares against. The sizing line also became per-design and exact: since SE^2 = C/held in all three, the required count is n_ind*deff for between (1272 x 4.15 = 5277 vs 5280 held at the powered preset), n_ind*(1-rho) for within, n_ind*(1-rho)*kappa^2/2 for CMOS — so "need" and the power tile can no longer disagree. Takeaway 2's "divide by the design effect" was the wrong direction and now says multiply, with the 1,300 -> 5,300 -> 1,056-listener arithmetic shown; the interview line's clustering example was re-cut to the same rho = 0.35 / m = 10 numbers so the two cannot drift. Theory 602 words, 30711 bytes — inside the 500-750 word / 30 KB core ceilings.)
2026-09-07 | 29-mos-subjective | gate | validate=PASS attempts=2
2026-09-07 | 29-mos-subjective | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 30-objective-metrics | Objective Metrics for TTS | OK
2026-09-07 | 30-objective-metrics | Objective Metrics for TTS | OK (attempt 2 — the SYS narrative strings asserted metric directions the page's own model does not produce. (a) The reported failure: NAR-P claimed "both MCD and MOS improve together", but mcd() = 3.2+2.6(1-q)-0.9*os+1.9*pv makes lowering over-smoothing (os .95->.55) and restoring prosodic variety (pv .10->.25) BOTH raise MCD — NAR-S 3.15 -> NAR-P 3.59 dB wideband, 2.24 -> 2.56 on the telephone leg, 3.56 -> 4.20 frame-for-frame — on a lower-better axis, while MOS goes 3.74 -> 4.10. There is no setting where NAR-P's MCD improves, and the claim inverted the page's central thesis that MCD rewards hedging toward the conditional mean. The string now states the real trade. (b) Four more directional claims in the same array failed the same audit: VOC-BZ said the buzz penalty was "gone entirely on a phone leg", but the telephone branch only cuts the hf MOS term 0.75*hf -> 0.19*hf and the dWER term 0.80*hf -> 0.30*hf (muted, not eliminated), and "almost invisible to the recogniser" understated a dWER of 1.75 that sits mid-table; CLONE-R's "mid-table with listeners" is 8th of 12 wideband and 9th on the telephone leg; VC-DR's "the only system cosine catches and the other two miss" is wrong about MCD, which scores it 4.30 — the penalty is prosody, not identity; GL's "every metric agrees" is 11th of 12 on MCD and 10th on both dWER and cosine, i.e. near the bottom, not worst. (c) To stop the direction drifting again, detail() now derives the NAR-S -> NAR-P trade live from mcd() and mosT() on the MCD panel, so the prose cannot disagree with the scatter for any tel/dtw combination. Theory unchanged at 602 words; 29958 bytes, inside the 30 KB core ceiling.)
2026-09-07 | 30-objective-metrics | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 31-serving-economics | Serving Cost Economics for TTS | OK
2026-09-08 | 32-voice-agent-regression | Regression Testing a Voice Agent | OK
2026-09-08 | plan | un-ticked 13-ar-vs-nar, 25-speaker-embeddings, 31-serving-economics — ticked in plan but no accepted .html exists, only quarantined .partial drafts; done 31 -> 29, remaining 1 -> 3
2026-09-08 | 32-voice-agent-regression | gate | validate=PASS factcheck=PASS attempts=1
2026-09-08 | 13-ar-vs-nar | Autoregressive vs Non-Autoregressive TTS | OK (rewritten from the quarantined .partial, which was 32917 bytes — over the 30 KB core ceiling — and claimed "at a 0.5% rate it lands in your p99", which is wrong by half an order: a 0.5% failure rate corrupts the worst 0.5% of turns, so it reaches p99.5 and above and leaves p99 clean. The new page states that explicitly, needs ~1% before p99 moves, and the percentile chart derives which quantiles are runaway live from (1-q) < p_fail so the prose cannot drift from the bars. Viz also models max_decoder_steps as a cap in BOTH directions — the AR total curve can no longer exceed it, because a decoder that hits the cap truncates rather than running longer, and a turn needing more steps than the cap is flagged as truncated mid-sentence. Runaway audio length now multiplies by the reduction factor r (maxSteps × r frames), which the earlier draft ignored. Theory 744 words, 30683 bytes — inside the 500-750 word / 30 KB core ceilings.)
2026-09-08 | 13-ar-vs-nar | Autoregressive vs Non-Autoregressive TTS | OK (attempt 2 — the 800 ms budget paragraph claimed "both families clear it if they stream and neither clears it if you wait for a complete utterance", which the page's own model contradicts: only the AR path needs streaming. A whole-utterance NAR pass over the same 431 frames is narCost(431) = 25.8 ms of mel + a 30-frame vocoder chunk = 27.8 ms to first audio (55.6 ms total) — the JS renders that tile green. The paragraph now states the real asymmetry: AR clears 100 ms only by streaming (676 ms un-chunked, ~7 budgets, vs 47 ms streamed), NAR clears it un-chunked at this length and only approaches the budget as T grows — 93 ms at the 12 s slider end — so chunking is optional for one family and mandatory for the other. Also corrected 677 -> 676 ms so the prose matches the AR-total tile exactly (431x1.5 + 431x0.0691 = 676.3). Theory 746 words, 30699 bytes — inside the 500-750 word / 30 KB core ceilings.)
2026-09-08 | 13-ar-vs-nar | gate | validate=PASS factcheck=PASS attempts=2
2026-09-08 | 25-speaker-embeddings | Speaker Embeddings | OK (rewritten from the quarantined .partial, which was 32787 bytes -- over the 30 KB core ceiling. The new page also fixes the demo model: a pure shared channel offset can NEVER produce the crossover the page argues for, because genuine cross-channel cos = 1/sqrt(1+k^2) stays above the narrowband impostor mean k^2/(1+k^2) until k > 2.2, well past any plausible slider range. The mu-law leg now does what it physically does -- adds a shared offset AND attenuates the speaker component, since part of the speaker cue sits in the discarded band above 3.4 kHz -- so at k = 1.1 cross-channel genuine 0.42 falls below the 0.72 two different callers score on the phone, EER goes 3.4% -> 27.4%, and per-channel mean subtraction pulls it back to 2.9%. Verified numerically before shipping. Also: the off-manifold blend test now keys off the NEAREST speaker centroid rather than just the two endpoints, since the claim is about every real speaker; the compensation string no longer says "recovers" at k = 0, where there is no offset to remove; and the score histogram normalised to mx = 1 instead of the tallest bin, which would have rendered every bar at ~5% height. Theory 748 words, 30719 bytes -- inside the 500-750 word / 30 KB core ceilings.)
2026-09-08 | 25-speaker-embeddings | Speaker Embeddings | OK (attempt 2 — the off-manifold test was comparing the wrong two quantities. The blend paragraph read `st.wsame` as "how far a genuine utterance sits from its own centroid", but wsame is the mean PAIRWISE same-speaker/same-channel cosine, a different and systematically lower statistic than utterance-to-centroid; using it as the threshold made `nearCos < wsame` lenient by roughly 0.12 and flipped the verdict to "inside the range real utterances occupy" for blends that are not. Added selfCos(), which computes the quantity the page's own theory and <pre> block already specify — each wideband utterance against its speaker's wideband centroid with ITSELF EXCLUDED, GE2E's own-centroid rule — and reports mean and worst over the 30 wideband clips in a new k7 tile, so the reader can check the comparison rather than take it. The verdict is now three-band and each branch is conditional on the computed numbers, so no branch can assert something the tiles contradict: nearCos < worst-real => off-distribution (and it names the count rather than claiming it of all real speech), nearCos < mean-real => inside the range but in its thin tail, otherwise => closer than an average real utterance, i.e. not off-manifold at all. k6's colour follows the same three bands. The paragraph also states explicitly why wsame is the wrong yardstick, and takeaway 2 was corrected from "against the within-speaker spread" to the leave-one-out centroid measure. Deliberately did NOT claim an ordering between wsame and the self-centroid figure: it holds in the clean isotropic case but the shared mu-law offset raises same-channel pairwise cosine on the phone leg, so at high kappa the ordering can invert. NOTE: 31938 bytes, ~1.2 KB over the 30 KB core ceiling. Theory is 616 words against a 500 floor and there is no unused CSS or dead script; meeting the ceiling would have meant either dropping the correction's evidence (the tile and the worst-case bound) or cutting theory below its floor. Chose the overage and am flagging it rather than shipping the lenient test again.)
2026-09-08 | 25-speaker-embeddings | gate | validate=PASS factcheck=PASS attempts=2
2026-09-08 | 31-serving-economics | Serving Cost Economics for TTS | OK (promoted from the quarantined .partial after fixing the one internal contradiction in it: takeaway 2 quoted the with-carry crossover as ~841,000 calls/month while the theory, the <pre> block and the k7 tile all report ~904,000. Both numbers are real and the takeaway named the wrong one — the all-in curve first dips under the flat vendor line at ~841,000 (11,628/(V x 1.0976) = 0.0126), but the fleet's step from three cards to four at V ~ 872,100 (raw = 2.0) pushes it back above, and crossover() scans from the RIGHT for the last point above the vendor line, so it returns ~904,137, the volume from which self-hosting STAYS cheaper. Takeaway now gives 904,000 and states the step-back explicitly. Also disambiguated "the fully-loaded figure is around $0.0048", which read as all-in while $0.0048 is GPUs-only; it now says "the rented-hardware figure is around $0.0048 — $0.0212 once carry is in". Re-derived the rest of the page's arithmetic against its own model before shipping: rtf_eff = 0.05x2.05/8 = 0.012813, 548,800 synth-min/mo, mean 12.53 audio-s per wall-s, raw 1.147 -> ceil 2 + N+1 = 3 cards = $2,628, util 5.35%, self $0.02119 vs vendor $0.01260 per synth-min, no-carry crossover 126,683, B=8->32 rtf_eff 0.012813 -> 0.008828 (31% less) taking the fleet 3 -> 2 cards for 51 -> 141 ms of batch service time. All match the prose. Theory 935 words, 34342 bytes — inside the 700-1000 word / 35 KB advanced ceilings.)
2026-09-08 | 31-serving-economics | gate | validate=PASS factcheck=PASS attempts=1
